zulu,english
finyeza,abbreviate
isifinyezo,abbreviation
okungajwayelekile,unusual
ngenhla,above
ngingekho,I'm not
ngokuphelele,completely
ngokuphelele,completely
ukumuncwa,concentration
vuma,confess
eyamukelekayo,acceptable
kwamukelwe,received
ukungena,entry
isesekeli,accessory
ingozi,risk
ukuhlalisa,maintenance
indawo yokuhlala,accommodation
ukuphelezela,accompanying
phelezela,accompany
ukunemba,accuracy
okufinyelelekayo,accessible
zuza,acquire
impumelelo,success
vuma,confess
ukuvuma,consent
isenzo,verb
vula,open
ngokoqobo,literally
vumelanisa,match
engeza,add
ukwengeza,confirm
eyengeziwe,additional
ezanele,adequate
phatha,manage
ukuphatha,touch
umlawuli,manager
encomekayo,commendable
ukutuswa,informal
zibabaza,they admire
vuma,confess
osemusha,teen
omdala,elder
ophingayo,adulterous
phambili,forward
inzuzo,profit
isihambi,stranger
isikhangiso,ad
iseluleko,advice
kuyafaneleka,it is worth it
abathintekayo,affected
uthando,love
inxusa,ambassador
isiqiniseko,pledge
ngemva,behind
ntambama,noon
ngemva kwalokho,after that
futhi,beside
ngokumelene,against
iminyaka yobudala,age
ukuhlanganisa,unification
ukuhlanganisa,unification
ulaka,wrath
vuma,confess
isivumelwano,agreement
ezolimo,agriculture
inhloso,aim
umoya,spirit
qwashisa,alert
konke,all
vumela,allow
imvume,consent
cishe,nearly
yedwa,solitary
kanye,once
izinhlamvu zamagama,alphabet
kakade,already
futhi,beside
ukuguqulwa,variation
okunye,else
ukushintshana,exchange
njalo,ever
inxusa,ambassador
engacacile,unclear
okokuhlaziya,obscene
mandulo,formerly
futhi,beside
intukuthelo,anger
i-angle,angle
ethukuthele,emerring
isilwane,animal
izithombe,images
isikhumbuzo,memorial
impendulo,response
intuthwane,ant
ama-antibiotic,Antibiotics
lindela,anticipate
noma yikuphi,any
noma ubani,anybody
noma yini,anything else
noma kuphi,anywhere
umxolisi,porlo
uxolo,peace
isikhalazo,complaint
avele,appear
umfakisicelo,applicant
isicelo,application
ukuqokwa,appointment
ncoma,proclaim
kuyancomeka,It is commendable
ngiyabonga,thank you
ukwazisa,notification
sondela,advance
ukugunyazwa,Authorization
vuma,confess
cishe,nearly
umakhi,builder
ingobo yomlando,archive
ukuphikisana,controversy
hlela,arrange
ukufika,arrival
fika,arrive
isihloko,topic
okokwenziwa,default
umculi,musician
buza,ask
ukulangazelela,longing
hlangana,encounter
impahla,property
isabelo,share
siza,help
umngane,friend
inhlangano,organization
isayensi yezinkanyezi,astronomy
umkhathi,space
